model_id,model,score
0,L1,0.36337547486808436
0,L2,0.36393251563633744
0,MLP,0.562029483896501
0,RandomForest,0.5578779246977649
0,XGBoost,0.5683693727840075
1,L1,0.4314292578529365
1,L2,0.4555222029014494
1,MLP,0.6598445819431431
1,RandomForest,0.6765193557654839
1,XGBoost,0.6835469831954851
2,L1,0.41518796675229147
2,L2,0.40813337153219564
2,MLP,0.634039635669701
2,RandomForest,0.6138234186124002
2,XGBoost,0.6292747837162925
3,L1,0.43905465592060416
3,L2,0.4609795429349148
3,MLP,0.6503390937079033
3,RandomForest,0.6505821349373061
3,XGBoost,0.6718105588149801
4,L1,0.42021967486823364
4,L2,0.4402433797814175
4,MLP,0.6321500360906335
4,RandomForest,0.6545027681395621
4,XGBoost,0.6694208879537504
5,L1,0.4527834875662287
5,L2,0.4566976384517647
5,MLP,0.6568433861620738
5,RandomForest,0.6691323798739299
5,XGBoost,0.5571850619986563
6,L1,0.4348035935647945
6,L2,0.45250350058334193
6,MLP,0.6256306778681093
6,RandomForest,0.6587490407462796
6,XGBoost,0.6562590007520376
7,L1,0.39142829289819364
7,L2,0.4054374844379138
7,MLP,0.541923545150326
7,RandomForest,0.5457185084652724
7,XGBoost,0.5586337427310389
8,L1,0.4251534437948511
8,L2,0.4283909121222915
8,MLP,0.6434634303182095
8,RandomForest,0.6300169630176415
8,XGBoost,0.6446304693512371
9,L1,0.4539184320843357
9,L2,0.46646693537060824
9,MLP,0.6560547164806809
9,RandomForest,0.6558321064538201
9,XGBoost,0.6494944328561564
