trainset,testset,value
HEK3 HEK293T,HEK3 HEK293T,0.911723522689295
HEK3 HEK293T,HEK3 HAP1dMLH1,0.9039485684297495
HEK3 HEK293T,HEK3 HAP1,0.466291351465898
HEK3 HEK293T,FANCF HEK293T,0.738458377070135
HEK3 HEK293T,FANCF HAP1dMLH1,0.8683774474896273
HEK3 HEK293T,FANCF HAP1,0.07795604383201746
HEK3 HEK293T,EMX1 HEK293T,0.7003016664411787
HEK3 HEK293T,CLYBL HEK293T,0.7697200323703453
HEK3 HAP1dMLH1,HEK3 HEK293T,0.9252936009448135
HEK3 HAP1dMLH1,HEK3 HAP1dMLH1,0.9419650905240727
HEK3 HAP1dMLH1,HEK3 HAP1,0.4392791211420713
HEK3 HAP1dMLH1,FANCF HEK293T,0.7369358632368976
HEK3 HAP1dMLH1,FANCF HAP1dMLH1,0.8817964601463644
HEK3 HAP1dMLH1,FANCF HAP1,0.050845576763217035
HEK3 HAP1dMLH1,EMX1 HEK293T,0.6759738082592717
HEK3 HAP1dMLH1,CLYBL HEK293T,0.8027470699440581
HEK3 HAP1,HEK3 HEK293T,0.4092602100009971
HEK3 HAP1,HEK3 HAP1dMLH1,0.35121210159216243
HEK3 HAP1,HEK3 HAP1,0.6988987890978773
HEK3 HAP1,FANCF HEK293T,0.44787005494906984
HEK3 HAP1,FANCF HAP1dMLH1,0.44044756623753634
HEK3 HAP1,FANCF HAP1,0.5657142594450035
HEK3 HAP1,EMX1 HEK293T,0.45491771278184856
HEK3 HAP1,CLYBL HEK293T,0.2783633693782317
FANCF HEK293T,HEK3 HEK293T,0.517017457624313
FANCF HEK293T,HEK3 HAP1dMLH1,0.505092095319404
FANCF HEK293T,HEK3 HAP1,0.31778809615858067
FANCF HEK293T,FANCF HEK293T,0.5807421139747244
FANCF HEK293T,FANCF HAP1dMLH1,0.5802661743937614
FANCF HEK293T,FANCF HAP1,0.20849013432231783
FANCF HEK293T,EMX1 HEK293T,0.46081736135643914
FANCF HEK293T,CLYBL HEK293T,0.49288861085710034
FANCF HAP1dMLH1,HEK3 HEK293T,0.7950033510048994
FANCF HAP1dMLH1,HEK3 HAP1dMLH1,0.7978713012630874
FANCF HAP1dMLH1,HEK3 HAP1,0.4274998749655551
FANCF HAP1dMLH1,FANCF HEK293T,0.766416028263819
FANCF HAP1dMLH1,FANCF HAP1dMLH1,0.8481207673676435
FANCF HAP1dMLH1,FANCF HAP1,0.14617917308786627
FANCF HAP1dMLH1,EMX1 HEK293T,0.6381727907115111
FANCF HAP1dMLH1,CLYBL HEK293T,0.706194342998893
FANCF HAP1,HEK3 HEK293T,0.022091612335124047
FANCF HAP1,HEK3 HAP1dMLH1,-0.019174391825929914
FANCF HAP1,HEK3 HAP1,0.4495039352962683
FANCF HAP1,FANCF HEK293T,0.23297965558333442
FANCF HAP1,FANCF HAP1dMLH1,0.11746823430158695
FANCF HAP1,FANCF HAP1,0.6330008033989329
FANCF HAP1,EMX1 HEK293T,0.1605479124255661
FANCF HAP1,CLYBL HEK293T,0.03386491018495156
EMX1 HEK293T,HEK3 HEK293T,0.5114387054947535
EMX1 HEK293T,HEK3 HAP1dMLH1,0.48546625396940196
EMX1 HEK293T,HEK3 HAP1,0.41767356104294134
EMX1 HEK293T,FANCF HEK293T,0.47305791842429645
EMX1 HEK293T,FANCF HAP1dMLH1,0.4774762450055475
EMX1 HEK293T,FANCF HAP1,0.18184663986264815
EMX1 HEK293T,EMX1 HEK293T,0.536479946517699
EMX1 HEK293T,CLYBL HEK293T,0.4738822346056903
CLYBL HEK293T,HEK3 HEK293T,0.5322042939205601
CLYBL HEK293T,HEK3 HAP1dMLH1,0.5376337532487276
CLYBL HEK293T,HEK3 HAP1,0.25008541244844507
CLYBL HEK293T,FANCF HEK293T,0.48536216363161655
CLYBL HEK293T,FANCF HAP1dMLH1,0.5256512145044989
CLYBL HEK293T,FANCF HAP1,0.053662499305684064
CLYBL HEK293T,EMX1 HEK293T,0.42567660534258744
CLYBL HEK293T,CLYBL HEK293T,0.4886322913725321
