experiment,sample,cell_line,target,prime_editor,replicate,context,library_size,figure,name
HEK3_293T_PE2_1,45-1-4,HEK293T,HEK3,PE2,1,wt,2666,Figure 1,HEK3 HEK293T set1
HEK3_293T_PE2_1,45-1-5,HEK293T,HEK3,PE2,2,wt,2666,Figure 1,HEK3 HEK293T set1
HEK3_293T_PE2_1,45-1-6,HEK293T,HEK3,PE2,3,wt,2666,Figure 1,HEK3 HEK293T set1
FANCF_293T_PE2_3,45-2-1,HEK293T,FANCF,PE2,1,wt,2666,Figure 1,FANCF HEK293T set1
FANCF_293T_PE2_3,45-2-2,HEK293T,FANCF,PE2,2,wt,2666,Figure 1,FANCF HEK293T set1
FANCF_293T_PE2_3,45-2-3,HEK293T,FANCF,PE2,3,wt,2666,Figure 1,FANCF HEK293T set1
CLYBL_293T_PE2_3,45-3-1,HEK293T,CLYBL,PE2,1,wt,2666,Figure 1,CLYBL HEK293T set1
CLYBL_293T_PE2_3,45-3-2,HEK293T,CLYBL,PE2,2,wt,2666,Figure 1,CLYBL HEK293T set1
CLYBL_293T_PE2_3,45-3-3,HEK293T,CLYBL,PE2,3,wt,2666,Figure 1,CLYBL HEK293T set1
EMX1_293T_PE2_3,45-3-4,HEK293T,EMX1,PE2,1,wt,2666,Figure 1,EMX1 HEK293T set1
EMX1_293T_PE2_3,45-3-5,HEK293T,EMX1,PE2,2,wt,2666,Figure 1,EMX1 HEK293T set1
EMX1_293T_PE2_3,45-3-6,HEK293T,EMX1,PE2,3,wt,2666,Figure 1,EMX1 HEK293T set1
EMX1_293T_PE3_3,45-3-4N,HEK293T,EMX1,PE3,1,repair,2666,Figure 3,EMX1 HEK293T set1
EMX1_293T_PE3_3,45-3-5N,HEK293T,EMX1,PE3,2,repair,2666,Figure 3,EMX1 HEK293T PE3
EMX1_293T_PE3_3,45-3-6N,HEK293T,EMX1,PE3,3,repair,2666,Figure 3,EMX1 HEK293T PE3
FANCF_HAP1_PBPE_8,A6,HAP1,FANCF,PBPE,1,wt,14416,Figure 1,FANCF HAP1 set1+2
FANCF_HAP1_PBPE_8,B6,HAP1,FANCF,PBPE,2,wt,14416,Figure 1,FANCF HAP1 set1+2
HEK3_HAP1_PBPE_8,A6,HAP1,HEK3,PBPE,1,wt,14416,Figure 1,HEK3 HAP1 set1+2
HEK3_HAP1_PBPE_8,B6,HAP1,HEK3,PBPE,2,wt,14416,Figure 1,HEK3 HAP1 set1+2
FANCF_HAP1_PBPE_8,45-7-1-FANCF,HAP1,FANCF,PBPE,1,wt,14416,Figure 1,FANCF HAP1 set1+2
FANCF_HAP1_PBPE_8,45-7-2-FANCF,HAP1,FANCF,PBPE,2,wt,14416,Figure 1,FANCF HAP1 set1+2
HEK3_HAP1_PBPE_8,45-7-1-HEK3,HAP1,HEK3,PBPE,1,wt,14416,Figure 1,HEK3 HAP1 set1+2
HEK3_HAP1_PBPE_8,45-7-2-HEK3,HAP1,HEK3,PBPE,2,wt,14416,Figure 1,HEK3 HAP1 set1+2
HEK3_293T_PE2_6,45-6-7-HEK3,HEK293T,HEK3,PE2,1,wt,1876,Figure 1,HEK3 HEK293T set2
HEK3_293T_PE2_6,45-6-8-HEK3,HEK293T,HEK3,PE2,2,wt,1876,Figure 1,HEK3 HEK293T set2
HEK3_293T_PE2_6,45-6-9-HEK3,HEK293T,HEK3,PE2,3,wt,1876,Figure 1,HEK3 HEK293T set2
FANCF_293T_PE2_6,45-6-7-FANCF,HEK293T,FANCF,PE2,1,wt,3752,Figure 1,FANCF HEK293T set2
FANCF_293T_PE2_6,45-6-8-FANCF,HEK293T,FANCF,PE2,2,wt,3752,Figure 1,FANCF HEK293T set2
FANCF_293T_PE2_6,45-6-9-FANCF,HEK293T,FANCF,PE2,3,wt,3752,Figure 1,FANCF HEK293T set2
CLYBL_293T_PE2_6,45-6-7-CLYBL,HEK293T,CLYBL,PE2,1,wt,3752,Figure 1,CLYBL HEK293T set2
CLYBL_293T_PE2_6,45-6-8-CLYBL,HEK293T,CLYBL,PE2,2,wt,3752,Figure 1,CLYBL HEK293T set2
CLYBL_293T_PE2_6,45-6-9-CLYBL,HEK293T,CLYBL,PE2,3,wt,3752,Figure 1,CLYBL HEK293T set2
